,DRUG_NAME,COVID_1,COVID_2,COVID_3,COVID_4,COVID_5,COVID_6,COVID_7,COVID_8,COVID_9,COVID_10,COVID_11,COVID_12,COVID_13,COVID_14,COVID_15,COVID_16,COVID_17,COVID_18,COVID_19,COVID_20,COVID_21,COVID_22,COVID_23,COVID_24,COVID_25,COVID_26,COVID_27,COVID_28,COVID_29,COVID_30,COVID_31,COVID_32,COVID_33,IN_CLINICAL_TRIALS
20,Vatalanib,0.6770475506782532,0.9425055384635925,1.2815752029418945,0.2548372447490692,0.6533327698707581,0.8004454374313354,0.904708981513977,0.9986550807952881,0.2931613326072693,0.8812659382820129,1.2058532238006592,0.6778249144554138,0.9076791405677795,0.1656832993030548,0.5350136756896973,-0.13059936463832855,1.1943246126174927,1.2272310256958008,1.0643210411071777,1.0815848112106323,1.448380947113037,0.9817652702331543,0.7596882581710815,0.33534449338912964,0.4494210481643677,1.46793794631958,0.5363134741783142,0.43311211466789246,1.2868471145629883,0.7285955548286438,0.35499393939971924,0.3404180705547333,0.9601840972900391,False
21,Liraglutide,0.9045830368995667,0.620675802230835,1.5316998958587646,0.8460049033164978,1.0749032497406006,1.2445403337478638,0.760581910610199,0.6816645264625549,-0.876040518283844,0.8413130044937134,0.38897988200187683,1.117505669593811,1.3107839822769165,0.7041498422622681,1.0436125993728638,1.1482200622558594,0.9841831922531128,0.9507139325141907,-0.07825049757957458,0.7309787273406982,0.665255606174469,0.1573093682527542,0.1951291710138321,0.41291242837905884,1.0124930143356323,0.6449593901634216,1.0307303667068481,2.042860507965088,1.8950592279434204,1.7938541173934937,1.2153114080429077,1.026719093322754,1.25014066696167,False
22,Sorbitol,-0.7174035906791687,-0.5303990244865417,-0.23363974690437317,-1.6907100677490234,-1.7402907609939575,-1.0695065259933472,-2.3999853134155273,-1.4493052959442139,-3.1531407833099365,-1.6689674854278564,-2.501786947250366,-0.8494066596031189,-0.8687761425971985,-0.5364676117897034,-0.7241989970207214,-0.11005350202322006,-1.8016184568405151,-2.1746714115142822,-3.054044008255005,-1.5847718715667725,-1.2699514627456665,-2.0023815631866455,-2.5448365211486816,-0.8082495331764221,-1.8712621927261353,-2.358685255050659,-1.017683744430542,-0.6968088746070862,-1.6390435695648193,-2.111328125,-2.037997245788574,-1.665176272392273,-0.6738941073417664,False
23,CRA_10991,-1.123253345489502,-1.6199432611465454,-1.1558178663253784,-1.07410728931427,-0.9848431944847107,-1.4651973247528076,-0.9771584272384644,-0.5675875544548035,0.055987950414419174,-1.5371302366256714,-0.9855747222900391,-1.2801240682601929,-1.3341337442398071,-1.4445524215698242,-0.8640379309654236,-1.4001919031143188,-1.0718988180160522,-0.681771457195282,-0.8371696472167969,-0.9653899669647217,-1.2123068571090698,-1.294357180595398,-1.0047776699066162,-1.3550124168395996,-1.5086696147918701,-0.1016046479344368,-1.5942329168319702,-1.5669164657592773,-1.0583630800247192,-1.1776368618011475,-1.0783560276031494,-1.0644611120224,-1.3170377016067505,False
24,Tributyltin,0.5471702218055725,0.6011496186256409,0.8630067110061646,0.8943545818328857,0.9107158184051514,0.8662057518959045,0.9910548329353333,0.8527015447616577,-0.15807266533374786,1.2574008703231812,0.7317687273025513,1.1073651313781738,0.8015528917312622,0.5534449815750122,0.7344850301742554,0.8837327361106873,0.5342752933502197,0.8469145894050598,0.13198299705982208,0.9675964713096619,0.7007926106452942,0.49722230434417725,0.21178658306598663,0.19164013862609863,0.8115828633308411,0.6919229626655579,0.9505143761634827,1.4568021297454834,0.9923121333122253,1.4878041744232178,0.7105268836021423,0.5469593405723572,0.8313195705413818,False
25,Cositecan,-0.24769239127635956,-0.1535337120294571,-0.36214113235473633,-0.8313362002372742,-0.21809695661067963,-0.4387277364730835,-0.585418701171875,-0.460830956697464,-0.09331177175045013,-0.6112397909164429,-0.5094361305236816,-0.2575456500053406,-0.3317525386810303,-0.5065605044364929,-0.7331321835517883,-0.23291629552841187,-0.44504138827323914,-1.1643531322479248,-0.11834647506475449,-0.5583799481391907,-0.3406338393688202,-0.527795135974884,-0.192961186170578,-0.2998332977294922,-0.5778722167015076,-0.5590798854827881,-0.4743306338787079,-0.8632209897041321,-0.7974586486816406,-0.5544790029525757,-0.5302186012268066,-0.7739143967628479,-0.46823355555534363,False
26,"2,6-dicarboxynaphthalene",0.24647265672683716,0.18416297435760498,0.6446161270141602,0.4431593120098114,0.46098896861076355,0.396686315536499,0.5551698207855225,0.6984066367149353,-0.15488675236701965,0.3976524770259857,0.6493775844573975,0.3441602885723114,0.19465841352939606,0.07685408741235733,0.35680562257766724,0.05731891468167305,0.27325427532196045,0.9414142966270447,0.08065368235111237,0.38882482051849365,0.23527346551418304,0.13007833063602448,0.1949417144060135,-0.2885216772556305,0.16336308419704437,1.2128171920776367,0.10333486646413803,0.13832835853099823,0.5066648721694946,0.2240532636642456,0.38759341835975647,-0.008002475835382938,-0.06598891317844391,False
27,Ramipril,1.0603886842727661,0.3707424998283386,1.4879873991012573,0.8641358613967896,1.788810133934021,0.8033825159072876,0.019418852403759956,0.3865543007850647,-2.2136435508728027,0.3255966305732727,1.1542142629623413,0.6968353986740112,0.6132456064224243,1.0843217372894287,1.2572304010391235,1.0119843482971191,1.8568377494812012,0.6126697063446045,0.7863141894340515,1.0676220655441284,0.45064225792884827,0.7837882041931152,0.6649942398071289,-0.46414312720298767,1.72976815700531,1.4112576246261597,1.3005448579788208,1.3258259296417236,0.9983787536621094,-0.08503371477127075,1.6554301977157593,1.9318536520004272,-0.2412409782409668,True
28,Voclosporin,0.15699365735054016,0.7808914184570312,0.674138069152832,0.21175426244735718,0.13788862526416779,0.8162545561790466,0.6195730566978455,0.06015972048044205,0.2212822288274765,0.3843327760696411,0.36943238973617554,0.0527195930480957,0.5193312764167786,0.37673234939575195,0.13506360352039337,0.12097162753343582,0.5927594900131226,0.5613074898719788,0.09313622117042542,-0.1751547008752823,0.2881910800933838,0.2418159395456314,0.3943082094192505,0.5445376038551331,0.7078936696052551,0.6203168034553528,0.48942920565605164,0.8933686017990112,0.8802623748779297,0.11439882963895798,0.1584104597568512,0.29779407382011414,0.8081023097038269,True
29,TG-100801,0.7260966897010803,0.962909460067749,1.0392647981643677,0.005907035432755947,0.6182249784469604,0.9018256068229675,0.6460295915603638,0.8503676652908325,0.5424368977546692,0.664121687412262,1.0160493850708008,0.43984103202819824,0.7048628926277161,0.1343318670988083,0.10906198620796204,-0.1462005376815796,1.2095297574996948,0.9897146224975586,1.060536503791809,0.4733315408229828,1.1347589492797852,0.8412749767303467,0.8322686553001404,0.37100476026535034,0.5793349146842957,1.1457359790802002,0.4509895443916321,0.42228540778160095,1.2717821598052979,0.5850574374198914,0.3163464665412903,0.2695438861846924,0.67293381690979,False
